tradeTime,price,livingRoom,drawingRoom,bathRoom,floor
2012-03-05,7.784450602321525e+23,2222.2,2222.2,2222.2,2222.2
2012-03-06,2.5544760613266467e+43,12345679.0,12345679.0,12345679.0,12345679.0
2012-03-07,2.906781032871114e+38,1388888.875,1388888.875,1388888.875,1388888.875
2012-03-08,2.9504008340023287e+38,1388888.875,1388888.875,1388888.875,1388888.875
2012-03-09,2.4370305477131652e+38,1388888.875,1388888.875,1388888.875,1388888.875
2012-03-10,1.0125167557604455e+78,69444444444444.44,69444444444444.44,69444444444444.44,69444444444444.44
2012-03-11,1.2500134551422373e+68,793650793650.7858,793650793650.7858,793650793650.7858,793650793650.7858
2012-03-12,1.300817758177528e+73,7407407407407.4,7407407407407.4,7407407407407.4,7407407407407.4
2012-03-13,3.7116634504665253e+23,2222.2,2222.2,2222.2,2222.2
2012-03-14,1.6650892144372876e+68,793650793650.7858,793650793650.7858,793650793650.7858,793650793650.7858
2012-03-15,2.940175991907946e+33,158730.14285714287,158730.14285714287,158730.14285714287,158730.14285714287
2012-03-16,995357658.0,5.5,5.5,5.5,5.5
2012-03-17,2.4945214135565108e+58,9259259259.25,9259259259.25,9259259259.25,9259259259.25
2012-03-18,1.1418998251398346e+88,6172839506172839.0,6172839506172839.0,6172839506172839.0,6172839506172839.0
2012-03-19,4.378383710389704e+28,18518.5,18518.5,18518.5,18518.5
2012-03-20,2.7262838054005035e+38,1388888.875,1388888.875,1388888.875,1388888.875
2012-03-21,3.9460620730789576e+18,277.75,277.75,277.75,277.75
2012-03-22,2.758461607469932e+33,158730.14285714287,158730.14285714287,158730.14285714287,158730.14285714287
2012-03-23,2.917047821883276e+33,158730.14285714287,158730.14285714287,158730.14285714287,158730.14285714287
2012-03-24,1.6840761788829139e+78,69444444444444.44,69444444444444.44,69444444444444.44,69444444444444.44
2012-03-25,1.1244846108549077e+83,653594771241830.1,653594771241830.1,653594771241830.1,653594771241830.1
2012-03-26,2.1635776557740586e+43,12345679.0,12345679.0,12345679.0,12345679.0
2012-03-27,3.479057632597326e+23,2222.2,2222.2,2222.2,2222.2
2012-03-28,2.232523212194352e+48,111111111.1,111111111.1,111111111.1,111111111.1
2012-03-29,4.2334699287844315e+33,158730.14285714287,158730.14285714287,158730.14285714287,158730.14285714287
2012-03-30,2.7422424769566806e+43,12345679.0,12345679.0,12345679.0,12345679.0
2012-03-31,1.9388408420246115e+53,1010101010.0909091,1010101010.0909091,1010101010.0909091,1010101010.0909091
2012-04-01,2.890705572235721e+28,18518.5,18518.5,18518.5,18518.5
2012-04-02,3.098282714003479e+38,1388888.875,1388888.875,1388888.875,1388888.875
2012-04-03,1.946468622547558e+43,12345679.0,12345679.0,12345679.0,12345679.0
2012-04-04,1.6230890323010657e+68,793650793650.7858,793650793650.7858,793650793650.7858,793650793650.7858
2012-04-05,4.0982148988333375e+28,18518.5,18518.5,18518.5,18518.5
2012-04-06,4.186870066978505e+28,18518.5,18518.5,18518.5,18518.5
2012-04-07,2.2951888510932018e+58,9259259259.25,9259259259.25,9259259259.25,9259259259.25
2012-04-08,1.1463766323371727e+68,793650793650.7858,793650793650.7858,793650793650.7858,793650793650.7858
2012-04-09,5.318544775575212e+18,277.75,277.75,277.75,277.75
2012-04-10,5.497851154418285e+23,2222.2,2222.2,2222.2,2222.2
2012-04-11,4.205052590339039e+28,18518.5,18518.5,18518.5,18518.5
2012-04-12,3.7986010689789037e+33,158730.14285714287,158730.14285714287,158730.14285714287,158730.14285714287
2012-04-13,107984249047826.33,37.0,37.0,37.0,37.0
2012-04-14,1.5420299948421595e+67,793650793650.7858,793650793650.7858,793650793650.7858,793650793650.7858
2012-04-15,1.112080468369027e+78,69444444444444.44,69444444444444.44,69444444444444.44,69444444444444.44
2012-04-16,6.944556048233909e+18,277.75,277.75,277.75,277.75
2012-04-17,2.1289380075566296e+53,1010101010.0909091,1010101010.0909091,1010101010.0909091,1010101010.0909091
2012-04-18,3.808540710436188e+28,18518.5,18518.5,18518.5,18518.5
2012-04-19,4.03639784369446e+28,18518.5,18518.5,18518.5,18518.5
2012-04-20,96017687237555.67,37.0,37.0,37.0,37.0
2012-04-21,9.821706974788643e+92,5.8479532163742696e+16,5.8479532163742696e+16,5.8479532163742696e+16,5.8479532163742696e+16
2012-04-22,1.0830099669573957e+93,5.8479532163742696e+16,5.8479532163742696e+16,5.8479532163742696e+16,5.8479532163742696e+16
2012-04-23,79164078770747.33,37.0,37.0,37.0,37.0
2012-04-24,4.444781736088028e+42,12345679.0,12345679.0,12345679.0,12345679.0
2012-04-25,4.042191568507072e+28,18518.5,18518.5,18518.5,18518.5
2012-04-26,2.222397499091703e+37,1388888.875,1388888.875,1388888.875,1388888.875
2012-04-27,3.7574590923906064e+23,2222.2,2222.2,2222.2,2222.2
2012-04-28,2.8544631202653894e+33,158730.14285714287,158730.14285714287,158730.14285714287,158730.14285714287
2012-04-29,1.5114798839969247e+63,85470085470.07692,85470085470.07692,85470085470.07692,85470085470.07692
2012-04-30,2.3550296990227774e+38,1388888.875,1388888.875,1388888.875,1388888.875
2012-05-01,2.265598665833581e+43,12345679.0,12345679.0,12345679.0,12345679.0
2012-05-02,5.526575780577809e+18,277.75,277.75,277.75,277.75
2012-05-03,2.152708368751707e+28,18518.5,18518.5,18518.5,18518.5
2012-05-04,85321140609678.0,37.0,37.0,37.0,37.0
2012-05-05,1.9962316022200225e+48,111111111.1,111111111.1,111111111.1,111111111.1
2012-05-06,1.2139061738239222e+93,5.8479532163742696e+16,5.8479532163742696e+16,5.8479532163742696e+16,5.8479532163742696e+16
2012-05-07,2.618302181206393e+53,1010101010.0909091,1010101010.0909091,1010101010.0909091,1010101010.0909091
2012-05-08,6.616070223365709e+18,277.75,277.75,277.75,277.75
2012-05-09,6.026802843243259e+18,277.75,277.75,277.75,277.75
2012-05-10,1544969750.0,5.5,5.5,5.5,5.5
2012-05-11,4.1923205182535547e+18,277.75,277.75,277.75,277.75
2012-05-12,1.2774253995629425e+83,653594771241830.1,653594771241830.1,653594771241830.1,653594771241830.1
2012-05-13,6.792328374825937e+132,4.1152263374485596e+24,4.1152263374485596e+24,4.1152263374485596e+24,4.1152263374485596e+24
2012-05-14,3.376886483764959e+28,18518.5,18518.5,18518.5,18518.5
